text,code
"As I reflect on the idea of community, think about the reading in chapter 1, and the information that I found online, is the fact that the ideas around and the definition of community has made many changes in the past several years. _My first thought on ""community"" sent me to my childhood neighborhood. _A place where a group of people lived and interacted together. _Merriam and Webster define community as ""a group of people who live in the same area, a group of people who have the same interest, religion or race"". _This definition I would say has been the main idea of community for decades. However, now we have a new and modern idea of something called the ""Virtual Community"". _The internet has taken the idea of living in the same area away. _Now we are able to be a part of a community regardless of our location. _I have been part of an online community for the past three years here at the University. _During my first year it was a time of intense learning. _I was not used to the online learning tools, and it took me a while to feel confident in myself as a learner. _Chapter one did a nice job of laying out what it takes to be successful with online communities. _At first, I had a hard time trusting myself to be able to complete the work without the instructor on hand. _I also had to develop a game plan for myself as much of the learning and time frame is based on your time line. _After three years of being a part of the online community. _I feel that I know what I am doing. _I am willing to put myself out their in my posts and willing to share my ideas with the class and the instructor. What I love about online communities is that it bring together a group of people who may never have connected. _I also love online communities because I am able to work at my own pace when it works for me. _It is fun to see what others are doing and thinking about in posts and chats. _This to me is why I believe that online communities are so important. _I have been amazed how much I have learned in the past three years and all the great people that I have been in a ""community"" with.",MKI
"As I reflect on the idea of community, think about the reading in chapter 1, and the information that I found online, is the fact that the ideas around and the definition of community has made many changes in the past several years. _My first thought on ""community"" sent me to my childhood neighborhood. _A place where a group of people lived and interacted together. _Merriam and Webster define community as ""a group of people who live in the same area, a group of people who have the same interest, religion or race"". _This definition I would say has been the main idea of community for decades. However, now we have a new and modern idea of something called the ""Virtual Community"". _The internet has taken the idea of living in the same area away. _Now we are able to be a part of a community regardless of our location. _I have been part of an online community for the past three years here at the University. _During my first year it was a time of intense learning. _I was not used to the online learning tools, and it took me a while to feel confident in myself as a learner. _Chapter one did a nice job of laying out what it takes to be successful with online communities. _At first, I had a hard time trusting myself to be able to complete the work without the instructor on hand. _I also had to develop a game plan for myself as much of the learning and time frame is based on your time line. _After three years of being a part of the online community. _I feel that I know what I am doing. _I am willing to put myself out their in my posts and willing to share my ideas with the class and the instructor. What I love about online communities is that it bring together a group of people who may never have connected. _I also love online communities because I am able to work at my own pace when it works for me. _It is fun to see what others are doing and thinking about in posts and chats. _This to me is why I believe that online communities are so important. _I have been amazed how much I have learned in the past three years and all the great people that I have been in a ""community"" with.",DKI
"As I reflect on the idea of community, think about the reading in chapter 1, and the information that I found online, is the fact that the ideas around and the definition of community has made many changes in the past several years. _My first thought on ""community"" sent me to my childhood neighborhood. _A place where a group of people lived and interacted together. _Merriam and Webster define community as ""a group of people who live in the same area, a group of people who have the same interest, religion or race"". _This definition I would say has been the main idea of community for decades. However, now we have a new and modern idea of something called the ""Virtual Community"". _The internet has taken the idea of living in the same area away. _Now we are able to be a part of a community regardless of our location. _I have been part of an online community for the past three years here at the University. _During my first year it was a time of intense learning. _I was not used to the online learning tools, and it took me a while to feel confident in myself as a learner. _Chapter one did a nice job of laying out what it takes to be successful with online communities. _At first, I had a hard time trusting myself to be able to complete the work without the instructor on hand. _I also had to develop a game plan for myself as much of the learning and time frame is based on your time line. _After three years of being a part of the online community. _I feel that I know what I am doing. _I am willing to put myself out their in my posts and willing to share my ideas with the class and the instructor. What I love about online communities is that it bring together a group of people who may never have connected. _I also love online communities because I am able to work at my own pace when it works for me. _It is fun to see what others are doing and thinking about in posts and chats. _This to me is why I believe that online communities are so important. _I have been amazed how much I have learned in the past three years and all the great people that I have been in a ""community"" with.",DKI
"Hi, B. I am totally agree with your points. Sharing and chatting in online community is fun, and we at the same time could learn something or reflect on our previous thoughts, experiences",MKC
"Hi B - I really like your comment,""What I love about online communities is that it bring together a group of people who may never have connected."" This is a key component to an online learning environment and provides a great framework to build a strong community in that it allows members to bring forward their own experiences and relate them to others in the course/community",MKC
"Hi, B and C,I agree! Your line about a group of people who may never have connected resonated with me, as well. I think what I have enjoyed most about online social media as I have wandered through it more or less consciously roe deliberately over the years, is that I have encountered so many people with so many varied perspectives that I'm ought never have gotten to know--almost certainly would not have gotten to know--any other way. My worldview has definitely expanded as a result,",DKC
"Hi B,I like your discussion of how the definition of ""community"" has evolved. I also really like your point about one of the benefits of online communities, which is bringing together a group of people that may never have come together.Thanks!",SKC
"B - I agree with you about community in the neighborhood sense. That was my first intro to community when I was growing up as well. I am new to formal online learning, but I've been hanging out in social media spaces for a few years now, and finally feel like I am getting the hang of interacting in those kinds of communities. It definitely takes a while to learn how to interact online.Have you found other online learning communities that have been helpful as you've been going through the program?",SKC
"B - I agree with you about community in the neighborhood sense. That was my first intro to community when I was growing up as well. I am new to formal online learning, but I've been hanging out in social media spaces for a few years now, and finally feel like I am getting the hang of interacting in those kinds of communities. It definitely takes a while to learn how to interact online.Have you found other online learning communities that have been helpful as you've been going through the program?",MKC
The only other community has been through Moodle and it has some of the same features as Ning.  I had never done a Voicethread and that was something fun to try.  Also online intros have been new.  I think that these pieces have been really interesting to be able to put a name with a face and have made me feel more connected early on to the group,MKC
"Hi B, in my opinion, Moodle is course management system while Ning is more like social networking site :)",MKC
"It is crazy sometimes to think of ""virtual community"" _we have come so far with technology.I recall my first online class and I hated it. _I was soooooo scared of not clicking the right area, or I was missing a site to visit. _I would get frustrated and need a teacher right now!!!I am now in my last stretch of Master degree and I stayed with online classes (all). _I am enjoying the community in-which I live in as a student. _This is my second time in Ning, and I am enjoying this site as much as the others.... _You move fast, but it keeps the learning fun and to the point!",MKC
"When I think about defining online community, I think about how I as a program evaluator would think about it as an intervention in learning and what that may ""look like"". I reviewed a few published studies that evaluated different online communities (learning and professional). _The online communities that ""succeeded"" by some measure included these aspects: high engagement (measured by frequency of participation, depth of participation, or particular participation patterns), shared sense of vision (in most cases this was centered on a particular aspect of learning), _and sense of belonging or community loyalty (self report paired with measures of participation). The studies also discussed motivations such as relevance of knowledge sharing in community and perceived advantage of belonging and participating. The studies also either measured or discussed the role of self efficacy in fostering engagement. Participants needed to be confident enough in their own ability to share knowledge to be engaged.In a learning community it seems like it would be important to figure out what strengths different members bring to the table, scaffold discussions so that varied expertise is valued, and establish the trust among members early and consistently. I liked the ""Building Online Learning Communities' reference to conscious community - the need for personal growth and transformation as part of that definition.The other piece that seemed missing from the studies I found was thinking about the role of discourse in building knowledge or learning in the community. It was perhaps implicit in the different measures of weblogs aItics from these studies but that seems to miss the constructivist thinking that R described in Prezi.Thinking about the definition makes me realize the challenges of thinking about evaluation with respect to online communities.",SKI
"When I think about defining online community, I think about how I as a program evaluator would think about it as an intervention in learning and what that may ""look like"". I reviewed a few published studies that evaluated different online communities (learning and professional). _The online communities that ""succeeded"" by some measure included these aspects: high engagement (measured by frequency of participation, depth of participation, or particular participation patterns), shared sense of vision (in most cases this was centered on a particular aspect of learning), _and sense of belonging or community loyalty (self report paired with measures of participation). The studies also discussed motivations such as relevance of knowledge sharing in community and perceived advantage of belonging and participating. The studies also either measured or discussed the role of self efficacy in fostering engagement. Participants needed to be confident enough in their own ability to share knowledge to be engaged.In a learning community it seems like it would be important to figure out what strengths different members bring to the table, scaffold discussions so that varied expertise is valued, and establish the trust among members early and consistently. I liked the ""Building Online Learning Communities' reference to conscious community - the need for personal growth and transformation as part of that definition.The other piece that seemed missing from the studies I found was thinking about the role of discourse in building knowledge or learning in the community. It was perhaps implicit in the different measures of weblogs aItics from these studies but that seems to miss the constructivist thinking that R described in Prezi.Thinking about the definition makes me realize the challenges of thinking about evaluation with respect to online communities.",MKI
"When I think about defining online community, I think about how I as a program evaluator would think about it as an intervention in learning and what that may ""look like"". I reviewed a few published studies that evaluated different online communities (learning and professional). _The online communities that ""succeeded"" by some measure included these aspects: high engagement (measured by frequency of participation, depth of participation, or particular participation patterns), shared sense of vision (in most cases this was centered on a particular aspect of learning), _and sense of belonging or community loyalty (self report paired with measures of participation). The studies also discussed motivations such as relevance of knowledge sharing in community and perceived advantage of belonging and participating. The studies also either measured or discussed the role of self efficacy in fostering engagement. Participants needed to be confident enough in their own ability to share knowledge to be engaged.In a learning community it seems like it would be important to figure out what strengths different members bring to the table, scaffold discussions so that varied expertise is valued, and establish the trust among members early and consistently. I liked the ""Building Online Learning Communities' reference to conscious community - the need for personal growth and transformation as part of that definition.The other piece that seemed missing from the studies I found was thinking about the role of discourse in building knowledge or learning in the community. It was perhaps implicit in the different measures of weblogs aItics from these studies but that seems to miss the constructivist thinking that R described in Prezi.Thinking about the definition makes me realize the challenges of thinking about evaluation with respect to online communities.",MKI
"Great points, E. Figuring out strengths with one another is definitely a challenge, and with such little time (15 weeks) for a semester, it's not always easy to determine those. But, I like your ideas of scaffolding discussions to help build in different levels of expertise. Thanks!",MKC
"Great points, E. Figuring out strengths with one another is definitely a challenge, and with such little time (15 weeks) for a semester, it's not always easy to determine those. But, I like your ideas of scaffolding discussions to help build in different levels of expertise. Thanks!",SKC
"E- I really like that you pointed out in order for online communities to be successful you need high engagement.  I think sometimes people think online classes are ""easy"".  However, if you are going to do them right and be successful you really need to be engaged and spend a lot of time participating in the community",MKC
"I envision ""online community"" as a place where people of all kind from all over the world comes together online to work and or learn together. Online communities occur when individuals come together for a sense of purpose. I would say that our class on this Ning website is an example of an online community. We come together and engage in conversations to enhance our learning and understanding. Slowly we become comfortable with one another so that the space shared in our online community is a safe place. We all have a common interest in choosing this class and taking this class. Each person may have a different reason for taking this class as we stated in our voicethreads the first week of class, but we had the option to come together to take this class and share the space here. I envision online learning communities as a place where people could freely express their self and keep an open mind to what they would like to share with other people within the community.",MKI
